match_id,batsman_runs
12,62
17,28
20,64
27,0
30,10
33,55
37,20
42,6
45,5
55,58
60,1
63,23
70,13
74,12
76,1
80,9
84,34
90,0
94,21
101,3
107,10
111,38
119,3
122,11
124,50
127,2
129,22
134,19
139,16
148,15
153,20
159,38
171,19
173,24
174,7
178,2
181,16
188,17
192,24
197,38
202,34
205,42
209,13
214,58
220,3
223,14
226,37
231,9
237,23
242,12
245,71
248,35
258,30
263,56
268,67
280,27
283,27
288,39
291,15
296,11
302,31
304,70
306,8
307,35
312,8
317,6
320,57
326,22
329,16
333,4
338,16
344,18
350,45
356,9
360,36
362,9
367,3
372,73
376,42
383,24
388,51
392,35
396,58
401,65
407,1
411,11
417,1
420,32
426,25
429,57
432,93
438,99
441,17
448,14
452,56
459,49
462,0
468,31
471,21
475,4
481,0
484,35
488,0
492,4
495,10
499,27
503,67
506,38
510,73
522,13
525,41
534,18
538,51
540,62
543,35
546,1
550,34
554,48
557,32
562,82
566,19
568,44
571,1
574,12
575,12
580,75
587,79
590,33
592,80
595,100
603,14
606,52
611,108
615,20
617,7
620,109
624,75
626,113
632,54
633,0
636,54
